IN,PHY_P1,CHEM_P1,MAT_P1,OVERALL_P1,TM_P1,TQ_P1,MCQ_P1,MMCQ_P1,NUM_P1,PARA_P1,MTF_P1,PHY_P2,CHEM_P2,MAT_P2,OVERALL_P2,TM_P2,TQ_P2,MCQ_P2,MMCQ_P2,NUM_P2,PARA_P2,MTF_P2,EASY_P,MED_P,HARD_P,EASY_C,MED_C,HARD_C,EASY_M,MED_M,HARD_M,OUT
334,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1
278,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,101
267,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,201
259,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,301
252,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,401
246,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,501
241,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,601
237,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,701
234,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,801
230,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,901
227,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1001
225,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1101
222,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1201
220,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1301
218,0.37,0.51,0.42,0.433333,180,60,0,0.5,0.5,0,0,0.31,0.35,0.58,0.413333,180,60,0.5,0,0,0.3,0.2,0.375,0.325,0.2,0.375,0.325,0.2,0.15,0.425,0.425,1401
