IN,PHY_P1,CHEM_P1,MAT_P1,OVERALL_P1,TM_P1,TQ_P1,MCQ_P1,MMCQ_P1,NUM_P1,PARA_P1,MTF_P1,PHY_P2,CHEM_P2,MAT_P2,OVERALL_P2,TM_P2,TQ_P2,MCQ_P2,MMCQ_P2,NUM_P2,PARA_P2,MTF_P2,EASY_P,MED_P,HARD_P,EASY_C,MED_C,HARD_C,EASY_M,MED_M,HARD_M,OUT
163,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,4501
162,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,4601
161,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,4701
160,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,4801
159,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,4901
158,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5001
158,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5101
157,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5201
156,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5301
155,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5402
154,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,5501
